City,Date,AQI
Adilabad,01-01-2017,63.66666667
Adilabad,01-02-2017,63.55555556
Adilabad,01-03-2017,67.66666667
Adilabad,01-04-2017,68.96296296
Adilabad,01-05-2017,70.62962963
Adilabad,01-06-2017,65.62962963
Adilabad,01-07-2017,62
Adilabad,01-08-2017,59.55555556
Adilabad,01-09-2017,61.44444444
Adilabad,01-10-2017,65.11111111
Adilabad,01-11-2017,63.44444444
Adilabad,01-12-2017,63.62962963
Adilabad,01-01-2018,66.11111111
Adilabad,01-02-2018,67
Adilabad,01-03-2018,70.33333333
Adilabad,01-04-2018,73.51851852
Adilabad,01-05-2018,74.11111111
Adilabad,01-06-2018,68.66666667
Adilabad,01-07-2018,63.77777778
Adilabad,01-08-2018,64
Adilabad,01-09-2018,61.55555556
Adilabad,01-10-2018,67.11111111
Adilabad,01-11-2018,74.77777778
Adilabad,01-12-2018,81
Adilabad,01-01-2020,78
Adilabad,01-02-2020,81.7037037
Adilabad,01-03-2020,70.81481481
Adilabad,01-04-2020,51.5
Adilabad,01-05-2020,0
Adilabad,01-06-2020,74
Adilabad,01-07-2020,74
Adilabad,01-08-2020,72
Adilabad,01-09-2020,72
Adilabad,01-10-2020,72
Adilabad,01-11-2020,0
Adilabad,01-12-2020,0
Adilabad,01-01-2021,0
Adilabad,01-02-2021,62
Adilabad,01-03-2021,73
Adilabad,01-04-2021,74
Adilabad,01-05-2021,67
Adilabad,01-06-2021,0
Adilabad,01-07-2021,0
Adilabad,01-08-2021,0
Adilabad,01-09-2021,0
Adilabad,01-10-2021,0
Adilabad,01-11-2021,0
Adilabad,01-12-2021,0
Adilabad,01-01-2022,0
Adilabad,01-02-2022,62
Adilabad,01-03-2022,73
Adilabad,01-04-2022,74
Adilabad,01-05-2022,67
Adilabad,01-06-2022,0
Adilabad,01-07-2022,0
Adilabad,01-08-2022,0
Adilabad,01-09-2022,0
Adilabad,01-10-2022,0
Adilabad,01-11-2022,0
Adilabad,01-12-2022,0
Balasamudram,01-01-2017,76
Balasamudram,01-02-2017,64
Balasamudram,01-03-2017,75
Balasamudram,01-04-2017,75
Balasamudram,01-05-2017,69
Balasamudram,01-06-2017,59.5
Balasamudram,01-07-2017,53.25
Balasamudram,01-08-2017,71.25
Balasamudram,01-09-2017,58
Balasamudram,01-10-2017,75
Balasamudram,01-11-2017,68
Balasamudram,01-12-2017,72.25
Balasamudram,01-01-2018,108
Balasamudram,01-02-2018,80.5
Balasamudram,01-03-2018,85.51587302
Balasamudram,01-04-2018,88
Balasamudram,01-05-2018,78.14849624
Balasamudram,01-06-2018,75.86152882
Balasamudram,01-07-2018,80
Balasamudram,01-08-2018,68
Balasamudram,01-09-2018,84
Balasamudram,01-10-2018,87.76041667
Balasamudram,01-11-2018,89.20138889
Balasamudram,01-12-2018,93
Balasamudram,01-01-2020,89
Balasamudram,01-02-2020,89
Balasamudram,01-03-2020,40
Balasamudram,01-04-2020,24
Balasamudram,01-05-2020,47
Balasamudram,01-06-2020,45
Balasamudram,01-07-2020,37
Balasamudram,01-08-2020,55
Balasamudram,01-09-2020,40
Balasamudram,01-10-2020,38
Balasamudram,01-11-2020,82
Balasamudram,01-12-2020,61
Balasamudram,01-01-2021,77
Balasamudram,01-02-2021,86
Balasamudram,01-03-2021,85
Balasamudram,01-04-2021,65
Balasamudram,01-05-2021,39
Balasamudram,01-06-2021,30
Balasamudram,01-07-2021,51
Balasamudram,01-08-2021,48
Balasamudram,01-09-2021,53
Balasamudram,01-10-2021,50
Balasamudram,01-11-2021,47
Balasamudram,01-12-2021,81
Balasamudram,01-01-2022,77
Balasamudram,01-02-2022,86
Balasamudram,01-03-2022,85
Balasamudram,01-04-2022,65
Balasamudram,01-05-2022,39
Balasamudram,01-06-2022,30
Balasamudram,01-07-2022,51
Balasamudram,01-08-2022,48
Balasamudram,01-09-2022,53
Balasamudram,01-10-2022,50
Balasamudram,01-11-2022,47
Balasamudram,01-12-2022,81
Boallaram,01-01-2017,149
Boallaram,01-02-2017,129
Boallaram,01-03-2017,128
Boallaram,01-04-2017,111
Boallaram,01-05-2017,0
Boallaram,01-06-2017,0
Boallaram,01-07-2017,106.6666667
Boallaram,01-08-2017,78.33333333
Boallaram,01-09-2017,86
Boallaram,01-10-2017,130
Boallaram,01-11-2017,0
Boallaram,01-12-2017,0
Boallaram,01-01-2018,0
Boallaram,01-02-2018,153
Boallaram,01-03-2018,129.6666667
Boallaram,01-04-2018,139
Boallaram,01-05-2018,119.875
Boallaram,01-06-2018,113.375
Boallaram,01-07-2018,115
Boallaram,01-08-2018,147.6666667
Boallaram,01-09-2018,137
Boallaram,01-10-2018,116.75
Boallaram,01-11-2018,121
Boallaram,01-12-2018,125.75
Bollaram,01-01-2020,123
Bollaram,01-02-2020,120.7142857
Bollaram,01-03-2020,120
Bollaram,01-04-2020,0
Bollaram,01-05-2020,115
Bollaram,01-06-2020,123
Bollaram,01-07-2020,119
Bollaram,01-08-2020,108
Bollaram,01-09-2020,78
Bollaram,01-10-2020,84
Bollaram,01-11-2020,101
Bollaram,01-12-2020,104
Bollaram,01-01-2021,102
Bollaram,01-02-2021,93
Bollaram,01-03-2021,103
Bollaram,01-04-2021,107
Bollaram,01-05-2021,81
Bollaram,01-06-2021,85
Bollaram,01-07-2021,83
Bollaram,01-08-2021,82
Bollaram,01-09-2021,85
Bollaram,01-10-2021,92
Bollaram,01-11-2021,96
Bollaram,01-12-2021,90
Bollaram,01-01-2022,102
Bollaram,01-02-2022,93
Bollaram,01-03-2022,103
Bollaram,01-04-2022,107
Bollaram,01-05-2022,81
Bollaram,01-06-2022,85
Bollaram,01-07-2022,83
Bollaram,01-08-2022,82
Bollaram,01-09-2022,85
Bollaram,01-10-2022,92
Bollaram,01-11-2022,96
Bollaram,01-12-2022,90
Choutuppal,01-01-2017,63.66666667
Choutuppal,01-02-2017,65.03703704
Choutuppal,01-03-2017,64.07407407
Choutuppal,01-04-2017,62.59259259
Choutuppal,01-05-2017,61.03703704
Choutuppal,01-06-2017,59.11111111
Choutuppal,01-07-2017,62
Choutuppal,01-08-2017,61.29166667
Choutuppal,01-09-2017,61.88888889
Choutuppal,01-10-2017,61.77777778
Choutuppal,01-11-2017,60.59259259
Choutuppal,01-12-2017,59.81481481
Choutuppal,01-01-2018,62.33333333
Choutuppal,01-02-2018,58.77777778
Choutuppal,01-03-2018,68.14814815
Choutuppal,01-04-2018,62.88888889
Choutuppal,01-05-2018,66.07407407
Choutuppal,01-06-2018,61.96296296
Choutuppal,01-07-2018,59.77083333
Choutuppal,01-08-2018,58
Choutuppal,01-09-2018,60.7037037
Choutuppal,01-10-2018,60.37037037
Choutuppal,01-11-2018,66.33333333
Choutuppal,01-12-2018,61
Choutuppal,01-01-2020,61
Choutuppal,01-02-2020,60.88888889
Choutuppal,01-03-2020,53.62962963
Choutuppal,01-04-2020,29.62962963
Choutuppal,01-05-2020,36
Choutuppal,01-06-2020,55
Choutuppal,01-07-2020,58
Choutuppal,01-08-2020,53
Choutuppal,01-09-2020,60
Choutuppal,01-10-2020,56
Choutuppal,01-11-2020,61.375
Choutuppal,01-12-2020,80
Choutuppal,01-01-2021,89.85185185
Choutuppal,01-02-2021,91
Choutuppal,01-03-2021,91
Choutuppal,01-04-2021,95
Choutuppal,01-05-2021,73
Choutuppal,01-06-2021,78
Choutuppal,01-07-2021,79
Choutuppal,01-08-2021,68
Choutuppal,01-09-2021,81
Choutuppal,01-10-2021,87
Choutuppal,01-11-2021,82
Choutuppal,01-12-2021,81.62962963
Choutuppal,01-01-2022,89.85185185
Choutuppal,01-02-2022,91
Choutuppal,01-03-2022,91
Choutuppal,01-04-2022,95
Choutuppal,01-05-2022,73
Choutuppal,01-06-2022,78
Choutuppal,01-07-2022,79
Choutuppal,01-08-2022,68
Choutuppal,01-09-2022,81
Choutuppal,01-10-2022,87
Choutuppal,01-11-2022,82
Choutuppal,01-12-2022,81.62962963
Gaddapotharam,01-01-2017,86.88888889
Gaddapotharam,01-02-2017,91.88888889
Gaddapotharam,01-03-2017,90.03703704
Gaddapotharam,01-04-2017,80.22222222
Gaddapotharam,01-05-2017,79.18518519
Gaddapotharam,01-06-2017,57
Gaddapotharam,01-07-2017,51
Gaddapotharam,01-08-2017,44.88888889
Gaddapotharam,01-09-2017,46.77777778
Gaddapotharam,01-10-2017,55.55555556
Gaddapotharam,01-11-2017,89.25925926
Gaddapotharam,01-12-2017,95.48148148
Gaddapotharam,01-01-2018,100.6666667
Gaddapotharam,01-02-2018,99
Gaddapotharam,01-03-2018,96.53703704
Gaddapotharam,01-04-2018,96.55555556
Gaddapotharam,01-05-2018,94.2962963
Gaddapotharam,01-06-2018,76.25925926
Gaddapotharam,01-07-2018,57.22222222
Gaddapotharam,01-08-2018,52
Gaddapotharam,01-09-2018,51.59259259
Gaddapotharam,01-10-2018,77.62962963
Gaddapotharam,01-11-2018,88.33333333
Gaddapotharam,01-12-2018,95
Gaddapotharam,01-01-2020,105
Gaddapotharam,01-02-2020,107.5555556
Gaddapotharam,01-03-2020,91.77777778
Gaddapotharam,01-04-2020,50.96296296
Gaddapotharam,01-05-2020,63
Gaddapotharam,01-06-2020,74
Gaddapotharam,01-07-2020,77
Gaddapotharam,01-08-2020,72
Gaddapotharam,01-09-2020,64
Gaddapotharam,01-10-2020,66
Gaddapotharam,01-11-2020,72.98148148
Gaddapotharam,01-12-2020,78
Gaddapotharam,01-01-2021,90.85185185
Gaddapotharam,01-02-2021,98
Gaddapotharam,01-03-2021,94
Gaddapotharam,01-04-2021,98
Gaddapotharam,01-05-2021,61
Gaddapotharam,01-06-2021,63
Gaddapotharam,01-07-2021,68
Gaddapotharam,01-08-2021,72
Gaddapotharam,01-09-2021,77
Gaddapotharam,01-10-2021,86
Gaddapotharam,01-11-2021,90
Gaddapotharam,01-12-2021,84.07407407
Gaddapotharam,01-01-2022,90.85185185
Gaddapotharam,01-02-2022,98
Gaddapotharam,01-03-2022,94
Gaddapotharam,01-04-2022,98
Gaddapotharam,01-05-2022,61
Gaddapotharam,01-06-2022,63
Gaddapotharam,01-07-2022,68
Gaddapotharam,01-08-2022,72
Gaddapotharam,01-09-2022,77
Gaddapotharam,01-10-2022,86
Gaddapotharam,01-11-2022,90
Gaddapotharam,01-12-2022,84.07407407
Godavarikhani,01-01-2017,107.3333333
Godavarikhani,01-02-2017,97.59259259
Godavarikhani,01-03-2017,73.48148148
Godavarikhani,01-04-2017,79.14814815
Godavarikhani,01-05-2017,77
Godavarikhani,01-06-2017,67.41666667
Godavarikhani,01-07-2017,41.11111111
Godavarikhani,01-08-2017,62.22222222
Godavarikhani,01-09-2017,68.87037037
Godavarikhani,01-10-2017,71
Godavarikhani,01-11-2017,80.88888889
Godavarikhani,01-12-2017,84.5
Godavarikhani,01-01-2018,135.8888889
Godavarikhani,01-02-2018,111.8888889
Godavarikhani,01-03-2018,104.6666667
Godavarikhani,01-04-2018,97.66666667
Godavarikhani,01-05-2018,99.66666667
Godavarikhani,01-06-2018,102
Godavarikhani,01-07-2018,89.14285714
Godavarikhani,01-08-2018,91.57142857
Godavarikhani,01-09-2018,94.38560997
Godavarikhani,01-10-2018,97.44444444
Godavarikhani,01-11-2018,104.3333333
